,label,run,error,rho,time
203,PLAN(oracle)-unclipped,13,4.543900216201744,0.125,7.401911735534668
204,PLAN(paper)-clipped,13,8.247604041910272,0.125,7.728394031524658
205,PLAN(paper)-unclipped,13,7.612508378356314,0.125,7.728394031524658
206,PLAN(noscale)-clipped,13,9.026470774547331,0.125,7.480944871902466
207,PLAN(noscale)-unclipped,13,8.477470084962155,0.125,7.480944871902466
208,PLAN(oracle)-clipped,14,5.141080501720308,0.125,7.608715057373047
209,PLAN(oracle)-unclipped,14,4.581599956968929,0.125,7.608715057373047
210,PLAN(paper)-clipped,14,8.711004979594904,0.125,7.819688081741333
211,PLAN(paper)-unclipped,14,8.289645582652728,0.125,7.819688081741333
212,PLAN(noscale)-clipped,14,8.932558272011422,0.125,7.504740476608276
213,PLAN(noscale)-unclipped,14,8.415922917470528,0.125,7.504740476608276
214,PLAN(oracle)-clipped,15,5.2499602668785315,0.125,7.826725482940674
215,PLAN(oracle)-unclipped,15,4.736322601170404,0.125,7.826725482940674
216,PLAN(paper)-clipped,15,9.336545039041248,0.125,7.8138158321380615
217,PLAN(paper)-unclipped,15,9.090703498177346,0.125,7.8138158321380615
218,PLAN(noscale)-clipped,15,8.777314380677485,0.125,7.640312433242798
219,PLAN(noscale)-unclipped,15,8.152846046913933,0.125,7.640312433242798
220,PLAN(oracle)-clipped,16,5.985140825271895,0.125,7.777257204055786
221,PLAN(oracle)-unclipped,16,5.760329390604802,0.125,7.777257204055786
222,PLAN(paper)-clipped,16,8.253363626750161,0.125,7.607014894485474
223,PLAN(paper)-unclipped,16,7.56601771246312,0.125,7.607014894485474
224,PLAN(noscale)-clipped,16,10.440031839596905,0.125,7.6033806800842285
225,PLAN(noscale)-unclipped,16,10.283809276090544,0.125,7.6033806800842285
226,PLAN(oracle)-clipped,17,5.171088146296752,0.125,7.652437448501587
227,PLAN(oracle)-unclipped,17,4.613969082328883,0.125,7.652437448501587
228,PLAN(paper)-clipped,17,8.36325263341969,0.125,7.820640325546265
229,PLAN(paper)-unclipped,17,7.777159264299555,0.125,7.820640325546265
230,PLAN(noscale)-clipped,17,9.297555943893094,0.125,7.7453930377960205
231,PLAN(noscale)-unclipped,17,8.905448319023385,0.125,7.7453930377960205
232,PLAN(oracle)-clipped,18,5.182569130162427,0.125,7.682459115982056
233,PLAN(oracle)-unclipped,18,4.632642126295614,0.125,7.682459115982056
234,PLAN(paper)-clipped,18,13.232989603207399,0.125,7.6916422843933105
235,PLAN(paper)-unclipped,18,13.216489190144017,0.125,7.6916422843933105
236,PLAN(noscale)-clipped,18,8.771591325192773,0.125,7.639473915100098
237,PLAN(noscale)-unclipped,18,8.06638208361854,0.125,7.639473915100098
238,PLAN(oracle)-clipped,19,5.149826161699694,0.125,7.562351226806641
239,PLAN(oracle)-unclipped,19,4.501992200669339,0.125,7.562351226806641
240,PLAN(paper)-clipped,19,8.471402011816814,0.125,7.545989274978638
241,PLAN(paper)-unclipped,19,7.937477104926411,0.125,7.545989274978638
242,PLAN(noscale)-clipped,19,8.678510232287332,0.125,7.632523536682129
243,PLAN(noscale)-unclipped,19,7.875946227856297,0.125,7.632523536682129
244,instance optimal,0,10.36810811156815,0.125,843.0268707275391
245,instance optimal unclipped,0,10.057320973079243,0.125,843.0268707275391
246,instance optimal,1,10.413261991546547,0.125,890.7835352420807
247,instance optimal unclipped,1,10.138728551765553,0.125,890.7835352420807
248,PLAN(oracle)-clipped,0,4.054315657305324,0.25,8.323187828063965
249,PLAN(oracle)-unclipped,0,3.5911377430914797,0.25,8.323187828063965
250,PLAN(paper)-clipped,0,6.213898574708285,0.25,7.898227691650391
251,PLAN(paper)-unclipped,0,5.487691804029689,0.25,7.898227691650391
252,PLAN(noscale)-clipped,0,7.323509204212237,0.25,7.966638088226318
253,PLAN(noscale)-unclipped,0,7.068231614056714,0.25,7.966638088226318
254,PLAN(oracle)-clipped,1,4.091941107519911,0.25,7.71001935005188
255,PLAN(oracle)-unclipped,1,3.6680586692808927,0.25,7.71001935005188
256,PLAN(paper)-clipped,1,6.274554565936687,0.25,7.6932032108306885
257,PLAN(paper)-unclipped,1,5.667123414914781,0.25,7.6932032108306885
258,PLAN(noscale)-clipped,1,6.770196052936953,0.25,7.638453006744385
259,PLAN(noscale)-unclipped,1,6.184306813627737,0.25,7.638453006744385
260,PLAN(oracle)-clipped,2,4.264967126885213,0.25,7.872333288192749
261,PLAN(oracle)-unclipped,2,3.9534132047160204,0.25,7.872333288192749
262,PLAN(paper)-clipped,2,6.241183716713356,0.25,7.741306304931641
263,PLAN(paper)-unclipped,2,5.581188494034333,0.25,7.741306304931641
264,PLAN(noscale)-clipped,2,7.173528915880284,0.25,7.703991889953613
265,PLAN(noscale)-unclipped,2,6.902713380771274,0.25,7.703991889953613
266,PLAN(oracle)-clipped,3,4.069947756318344,0.25,7.7170045375823975
267,PLAN(oracle)-unclipped,3,3.5469897432289565,0.25,7.7170045375823975
268,PLAN(paper)-clipped,3,6.327184105804716,0.25,7.654827117919922
269,PLAN(paper)-unclipped,3,5.716823036835306,0.25,7.654827117919922
270,PLAN(noscale)-clipped,3,7.035375213512864,0.25,7.69781231880188
271,PLAN(noscale)-unclipped,3,6.668484311417865,0.25,7.69781231880188
272,PLAN(oracle)-clipped,4,4.006590842670203,0.25,7.562164783477783
273,PLAN(oracle)-unclipped,4,3.2030940480177112,0.25,7.562164783477783
274,PLAN(paper)-clipped,4,7.435528234395141,0.25,7.730571746826172
275,PLAN(paper)-unclipped,4,7.280117156405569,0.25,7.730571746826172
276,PLAN(noscale)-clipped,4,6.49995409364105,0.25,7.646901369094849
277,PLAN(noscale)-unclipped,4,5.693629575191326,0.25,7.646901369094849
278,PLAN(oracle)-clipped,5,3.9680319351654147,0.25,7.552849292755127
279,PLAN(oracle)-unclipped,5,3.0988575173190345,0.25,7.552849292755127
280,PLAN(paper)-clipped,5,6.613240645102477,0.25,7.9983978271484375
281,PLAN(paper)-unclipped,5,6.175983889684174,0.25,7.9983978271484375
282,PLAN(noscale)-clipped,5,6.597196163291584,0.25,7.65617823600769
283,PLAN(noscale)-unclipped,5,5.698144948754458,0.25,7.65617823600769
284,PLAN(oracle)-clipped,6,4.082998932597952,0.25,7.482756853103638
285,PLAN(oracle)-unclipped,6,3.6194970767712906,0.25,7.482756853103638
286,PLAN(paper)-clipped,6,6.453476609008503,0.25,7.877375364303589
287,PLAN(paper)-unclipped,6,6.0011093006478555,0.25,7.877375364303589
288,PLAN(noscale)-clipped,6,6.977435507528491,0.25,7.694653511047363
289,PLAN(noscale)-unclipped,6,6.547373500442707,0.25,7.694653511047363
290,PLAN(oracle)-clipped,7,4.104340274424621,0.25,7.7063493728637695
291,PLAN(oracle)-unclipped,7,3.6735226832450767,0.25,7.7063493728637695
292,PLAN(paper)-clipped,7,6.440223723806675,0.25,7.558396577835083
293,PLAN(paper)-unclipped,7,5.949587432924132,0.25,7.558396577835083
294,PLAN(noscale)-clipped,7,6.810721314468744,0.25,7.8495728969573975
295,PLAN(noscale)-unclipped,7,6.251532641794754,0.25,7.8495728969573975
296,PLAN(oracle)-clipped,8,5.413818844778472,0.25,7.668894290924072
297,PLAN(oracle)-unclipped,8,5.348000637572788,0.25,7.668894290924072
298,PLAN(paper)-clipped,8,7.203015692877797,0.25,7.886110544204712
299,PLAN(paper)-unclipped,8,7.005246775780201,0.25,7.886110544204712
300,PLAN(noscale)-clipped,8,6.650239022505597,0.25,7.590136766433716
301,PLAN(noscale)-unclipped,8,6.00843354204365,0.25,7.590136766433716
302,PLAN(oracle)-clipped,9,4.3337156034325455,0.25,7.760085821151733
303,PLAN(oracle)-unclipped,9,4.012937834926931,0.25,7.760085821151733
304,PLAN(paper)-clipped,9,6.261269583734341,0.25,7.883563995361328
305,PLAN(paper)-unclipped,9,5.496197758974341,0.25,7.883563995361328
306,PLAN(noscale)-clipped,9,9.268722978013512,0.25,7.662854909896851
307,PLAN(noscale)-unclipped,9,9.237805909735636,0.25,7.662854909896851
308,PLAN(oracle)-clipped,10,4.299564862258045,0.25,7.879255294799805
309,PLAN(oracle)-unclipped,10,4.011670661634189,0.25,7.879255294799805
310,PLAN(paper)-clipped,10,6.603494025997271,0.25,8.091741561889648
311,PLAN(paper)-unclipped,10,6.239329967402032,0.25,8.091741561889648
312,PLAN(noscale)-clipped,10,7.055415012646774,0.25,7.773558616638184
313,PLAN(noscale)-unclipped,10,6.698495552698526,0.25,7.773558616638184
314,PLAN(oracle)-clipped,11,4.322182258044735,0.25,7.635659694671631
315,PLAN(oracle)-unclipped,11,4.03069415000602,0.25,7.635659694671631
316,PLAN(paper)-clipped,11,6.853296832182772,0.25,7.741846323013306
317,PLAN(paper)-unclipped,11,6.549572016776445,0.25,7.741846323013306
318,PLAN(noscale)-clipped,11,7.00046203248677,0.25,7.742892026901245
319,PLAN(noscale)-unclipped,11,6.609391409473895,0.25,7.742892026901245
320,PLAN(oracle)-clipped,12,4.00617235272187,0.25,7.651570796966553
321,PLAN(oracle)-unclipped,12,3.3140375119831607,0.25,7.651570796966553
322,PLAN(paper)-clipped,12,6.51003662475667,0.25,7.7321085929870605
323,PLAN(paper)-unclipped,12,6.102257421682883,0.25,7.7321085929870605
324,PLAN(noscale)-clipped,12,7.415775257299392,0.25,7.859547853469849
325,PLAN(noscale)-unclipped,12,7.197105095285622,0.25,7.859547853469849
326,PLAN(oracle)-clipped,13,4.089787237912924,0.25,7.8099658489227295
327,PLAN(oracle)-unclipped,13,3.5659368802446716,0.25,7.8099658489227295
328,PLAN(paper)-clipped,13,6.278463570306965,0.25,7.767454385757446
329,PLAN(paper)-unclipped,13,5.665947139820253,0.25,7.767454385757446
