,Algorithm,u,n,d,rho,mean,cov,r,run,error
54,Instance optimal,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,13,0.4270907674274704
55,Empirical mean (non-private),"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,13,0.22757705876473183
56,PLAN-E-ULTIMATE++,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,14,0.4768796428670956
57,PLAN-NOSCALE,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,14,0.406270108161738
58,Instance optimal,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,14,0.4263460008488455
59,Empirical mean (non-private),"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,14,0.23450515995007545
60,PLAN-E-ULTIMATE++,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,15,0.4956003369902859
61,PLAN-NOSCALE,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,15,0.39167776721992
62,Instance optimal,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,15,0.4404665716161622
63,Empirical mean (non-private),"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,15,0.2302287832868432
64,PLAN-E-ULTIMATE++,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,16,0.47748283872418035
65,PLAN-NOSCALE,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,16,0.4127129082350783
66,Instance optimal,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,16,0.40613820113652244
67,Empirical mean (non-private),"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,16,0.2341306665666501
68,PLAN-E-ULTIMATE++,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,17,0.46122577090639105
69,PLAN-NOSCALE,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,17,0.395909980682908
70,Instance optimal,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,17,0.42568341508555024
71,Empirical mean (non-private),"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,17,0.23267063084706754
72,PLAN-E-ULTIMATE++,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,18,0.47930871390253216
73,PLAN-NOSCALE,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,18,0.4055275154382675
74,Instance optimal,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,18,0.41609701180997893
75,Empirical mean (non-private),"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,18,0.23269024229006607
76,PLAN-E-ULTIMATE++,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,19,0.4473303143799704
77,PLAN-NOSCALE,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,19,0.385139270860599
78,Instance optimal,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,19,0.4101204556813073
79,Empirical mean (non-private),"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,19,0.2218099183193885
80,PLAN-E-ULTIMATE++,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,20,0.47171914917605823
81,PLAN-NOSCALE,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,20,0.393386308026436
82,Instance optimal,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,20,0.4161827293975548
83,Empirical mean (non-private),"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,20,0.2175377338238028
84,PLAN-E-ULTIMATE++,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,21,0.5051179106846648
85,PLAN-NOSCALE,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,21,0.4126608702630448
86,Instance optimal,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,21,0.42509809491389017
87,Empirical mean (non-private),"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,21,0.23254626950558613
88,PLAN-E-ULTIMATE++,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,22,0.4792592719628988
89,PLAN-NOSCALE,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,22,0.430349118464468
90,Instance optimal,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,22,0.40220200460605415
91,Empirical mean (non-private),"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,22,0.22703732957016887
92,PLAN-E-ULTIMATE++,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,23,0.44026334787684046
93,PLAN-NOSCALE,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,23,0.3977561911978336
94,Instance optimal,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,23,0.4217333290456675
