,Algorithm,u,n,d,rho,mean,cov,r,run,error
71,Empirical mean (non-private),"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,17,0.04807734541111714
72,PLAN-E-ULTIMATE++,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,18,0.052555599263744576
73,PLAN-NOSCALE,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,18,0.053498876321432146
74,Instance optimal,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,18,0.04062478052541105
75,Empirical mean (non-private),"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,18,0.04116201137521417
76,PLAN-E-ULTIMATE++,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,19,0.08809235518849326
77,PLAN-NOSCALE,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,19,0.10779449881601236
78,Instance optimal,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,19,0.08240387033252958
79,Empirical mean (non-private),"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,19,0.08122449006467224
80,PLAN-E-ULTIMATE++,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,20,0.06580995108291353
81,PLAN-NOSCALE,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,20,0.06832890335653766
82,Instance optimal,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,20,0.07353667109512926
83,Empirical mean (non-private),"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,20,0.06680306550354224
84,PLAN-E-ULTIMATE++,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,21,0.0828594734903613
85,PLAN-NOSCALE,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,21,0.07720191462378072
86,Instance optimal,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,21,0.07342356174365094
87,Empirical mean (non-private),"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,21,0.07577831849946254
