,Algorithm,u,n,d,rho,mean,cov,r,run,error
71,Empirical mean (non-private),"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,17,0.14096718411750464
72,PLAN,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,18,0.1609909154215434
73,PLAN-NOSCALE,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,18,0.11464402542140531
74,Instance optimal,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,18,0.15062728322998997
75,Empirical mean (non-private),"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,18,0.15863004146129156
76,PLAN,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,19,0.14071554604747413
77,PLAN-NOSCALE,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,19,0.1843307761374461
78,Instance optimal,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,19,0.17977474682204528
79,Empirical mean (non-private),"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,19,0.14176429495822826
80,PLAN,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,20,0.13699267150789574
81,PLAN-NOSCALE,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,20,0.2878770585558059
82,Instance optimal,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,20,0.16217696802719392
83,Empirical mean (non-private),"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,20,0.1369371263216841
84,PLAN,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,21,0.08442844169943806
85,PLAN-NOSCALE,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,21,0.08699729341387995
86,Instance optimal,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,21,0.08345791096440217
