,label,run,error,rho,time
391,PLAN(oracle)-unclipped,3,0.011527980540430825,0.5,6.809915781021118
392,PLAN(paper)-clipped,3,0.021848967224920933,0.5,7.269552946090698
393,PLAN(paper)-unclipped,3,0.018097410568182294,0.5,7.269552946090698
394,PLAN(noscale)-clipped,3,0.022140783298145693,0.5,6.792633771896362
395,PLAN(noscale)-unclipped,3,0.019261303936794018,0.5,6.792633771896362
396,PLAN(oracle)-clipped,4,0.014840261332820282,0.5,7.010018825531006
397,PLAN(oracle)-unclipped,4,0.010967309471273275,0.5,7.010018825531006
398,PLAN(paper)-clipped,4,0.021599482224023966,0.5,6.612176418304443
399,PLAN(paper)-unclipped,4,0.01718662810653328,0.5,6.612176418304443
400,PLAN(noscale)-clipped,4,0.021487517699135584,0.5,7.154077053070068
401,PLAN(noscale)-unclipped,4,0.018831164719178197,0.5,7.154077053070068
402,PLAN(oracle)-clipped,5,0.015335915493794372,0.5,7.197306394577026
403,PLAN(oracle)-unclipped,5,0.011106474984991958,0.5,7.197306394577026
404,PLAN(paper)-clipped,5,0.02148113527849627,0.5,6.927603483200073
405,PLAN(paper)-unclipped,5,0.01834349428210924,0.5,6.927603483200073
406,PLAN(noscale)-clipped,5,0.02209756910517539,0.5,6.67577338218689
407,PLAN(noscale)-unclipped,5,0.018582251120669788,0.5,6.67577338218689
408,PLAN(oracle)-clipped,6,0.01570283793883362,0.5,6.728436470031738
409,PLAN(oracle)-unclipped,6,0.011155348323268671,0.5,6.728436470031738
410,PLAN(paper)-clipped,6,0.021305308044542937,0.5,7.131744146347046
411,PLAN(paper)-unclipped,6,0.0178005288255943,0.5,7.131744146347046
412,PLAN(noscale)-clipped,6,0.022592136660856348,0.5,7.081396102905273
413,PLAN(noscale)-unclipped,6,0.01921713092859519,0.5,7.081396102905273
414,PLAN(oracle)-clipped,7,0.015561545175401845,0.5,6.892033815383911
415,PLAN(oracle)-unclipped,7,0.010999839390027091,0.5,6.892033815383911
416,PLAN(paper)-clipped,7,0.021850970169383338,0.5,6.999428749084473
417,PLAN(paper)-unclipped,7,0.017959754591267897,0.5,6.999428749084473
418,PLAN(noscale)-clipped,7,0.021941178257793854,0.5,6.606330156326294
419,PLAN(noscale)-unclipped,7,0.01851032517414429,0.5,6.606330156326294
420,PLAN(oracle)-clipped,8,0.016040669916281843,0.5,7.398437261581421
421,PLAN(oracle)-unclipped,8,0.011023108772007798,0.5,7.398437261581421
422,PLAN(paper)-clipped,8,0.02159426730403634,0.5,6.6986589431762695
423,PLAN(paper)-unclipped,8,0.01863973172049037,0.5,6.6986589431762695
424,PLAN(noscale)-clipped,8,0.022054696949124198,0.5,7.012118339538574
425,PLAN(noscale)-unclipped,8,0.01902008727385018,0.5,7.012118339538574
426,PLAN(oracle)-clipped,9,0.015245376657054981,0.5,7.097085952758789
427,PLAN(oracle)-unclipped,9,0.01100376974894636,0.5,7.097085952758789
428,PLAN(paper)-clipped,9,0.020666687229224226,0.5,6.653160095214844
429,PLAN(paper)-unclipped,9,0.017610215356718903,0.5,6.653160095214844
430,PLAN(noscale)-clipped,9,0.022070123650857917,0.5,6.8106465339660645
431,PLAN(noscale)-unclipped,9,0.019445537150203883,0.5,6.8106465339660645
432,PLAN(oracle)-clipped,10,0.015258180936972367,0.5,7.051693677902222
433,PLAN(oracle)-unclipped,10,0.011303151315601938,0.5,7.051693677902222
434,PLAN(paper)-clipped,10,0.02130000437030169,0.5,7.274576902389526
435,PLAN(paper)-unclipped,10,0.018174654704801323,0.5,7.274576902389526
436,PLAN(noscale)-clipped,10,0.02258356251492923,0.5,6.795723915100098
437,PLAN(noscale)-unclipped,10,0.018906202371418768,0.5,6.795723915100098
438,PLAN(oracle)-clipped,11,0.015362091344480022,0.5,6.717246055603027
439,PLAN(oracle)-unclipped,11,0.011110899624981463,0.5,6.717246055603027
440,PLAN(paper)-clipped,11,0.021704197810797788,0.5,7.266865253448486
441,PLAN(paper)-unclipped,11,0.01786087515184062,0.5,7.266865253448486
442,PLAN(noscale)-clipped,11,0.021877179948572308,0.5,6.717858552932739
443,PLAN(noscale)-unclipped,11,0.019291064187362664,0.5,6.717858552932739
444,PLAN(oracle)-clipped,12,0.01597676087592175,0.5,7.084026336669922
445,PLAN(oracle)-unclipped,12,0.011288468979971565,0.5,7.084026336669922
446,PLAN(paper)-clipped,12,0.021996145435065933,0.5,7.017179250717163
447,PLAN(paper)-unclipped,12,0.01823310551100725,0.5,7.017179250717163
448,PLAN(noscale)-clipped,12,0.021725700488896785,0.5,6.895422697067261
449,PLAN(noscale)-unclipped,12,0.0188357108407365,0.5,6.895422697067261
450,PLAN(oracle)-clipped,13,0.01473972412908392,0.5,6.914980411529541
451,PLAN(oracle)-unclipped,13,0.011640105431230636,0.5,6.914980411529541
452,PLAN(paper)-clipped,13,0.02153758123709356,0.5,7.107819557189941
453,PLAN(paper)-unclipped,13,0.017974331567653944,0.5,7.107819557189941
454,PLAN(noscale)-clipped,13,0.021740202003183683,0.5,7.259700536727905
455,PLAN(noscale)-unclipped,13,0.018899269377435513,0.5,7.259700536727905
456,PLAN(oracle)-clipped,14,0.014640338083873819,0.5,6.855011463165283
457,PLAN(oracle)-unclipped,14,0.010808314040055125,0.5,6.855011463165283
458,PLAN(paper)-clipped,14,0.02153336326305195,0.5,7.13657283782959
459,PLAN(paper)-unclipped,14,0.01761612083440494,0.5,7.13657283782959
460,PLAN(noscale)-clipped,14,0.021955606047839575,0.5,6.8433427810668945
461,PLAN(noscale)-unclipped,14,0.019082007622093514,0.5,6.8433427810668945
462,PLAN(oracle)-clipped,15,0.01587704737074496,0.5,6.754232883453369
